"Source:","/home/benis/MEGA/1111(((Funk)))/RF-Badge/KiCAD/RF-Badge/RF-Badge.kicad_sch"
"Date:","So 23 Okt 2022 15:27:38"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","AE1","Antenna","Device:Antenna","","~"
"","","C1","100pF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~"
"","","C2","1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~"
"","","D1","MMSD701T1G","Diode:MMSD4148","Diode_SMD:D_SOD-123","https://www.onsemi.com/pub/Collateral/MMSD4148T1-D.PDF"
"","","D2","MMSD701T1G","Diode:MMSD4148","Diode_SMD:D_SOD-123","https://www.onsemi.com/pub/Collateral/MMSD4148T1-D.PDF"
"","","D3","LTST-T680KSWT","Device:LED","LED_SMD:LED_PLCC-2","~"
"","","D4","LTST-T680UBWT","Device:LED","LED_SMD:LED_PLCC-2","~"
"","","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount"," ~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","AE1","Antenna","Device:Antenna","","~"
"2","1","C1","100pF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~"
"3","1","C2","1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~"
"4","2","D1, D2","MMSD701T1G","Diode:MMSD4148","Diode_SMD:D_SOD-123","https://www.onsemi.com/pub/Collateral/MMSD4148T1-D.PDF"
"5","1","D3","LTST-T680KSWT","Device:LED","LED_SMD:LED_PLCC-2","~"
"6","1","D4","LTST-T680UBWT","Device:LED","LED_SMD:LED_PLCC-2","~"
"7","1","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount"," ~"
